COVID 19 Rules,Written Record,Recording,"Meeting
Record",Day,Month,Year,Date,"Press
Release",Topic/Subject,"Security Council
Outcome / Vote",Presidential Statement,Communique,Press Elements,Resolution,Unanimous,Failed,Vetoed,No Outcome,Closed Meeting,Presidency,Gender_Rep,P5 Presidency,Non-P5 Presidency,Region,PermRep_Name,Note
0,n/a,n/a,S/PV.3026,6,January,1992,1/6/1992,none issued,The situation in the occupied Arab territories,"S/RES/726 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3027,7,January,1992,1/7/1992,none issued,Items relating to the situation in the former Yugoslavia,--,0,0,0,0,0,0,0,1,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3029,8,January,1992,1/8/1992,none issued,The situation in Cambodia,"S/RES/728 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3028,8,January,1992,1/8/1992,none issued,Items relating to the situation in the former Yugoslavia,"S/RES/727 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3030,14,January,1992,1/14/1992,none issued,Central America: efforts towards peace,"S/RES/729 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3032,16,January,1992,1/16/1992,none issued,Admission of new Members,--,0,0,0,0,0,0,0,1,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3031,16,January,1992,1/16/1992,none issued,Central America: efforts towards peace,"S/RES/730 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3033,21,January,1992,1/21/1992,none issued,Items relating to the Libyan Arab Jamahiriya,"S/RES/731 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3039,23,January,1992,1/23/1992,none issued,The situation in Somalia,"S/RES/733 (1992)
15-0-0",0,0,0,1,1,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3038,23,January,1992,1/23/1992,none issued,Admission of new Members,--,0,0,0,0,0,0,0,1,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3037,23,January,1992,1/23/1992,none issued,Admission of new Members,--,0,0,0,0,0,0,0,1,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3036,23,January,1992,1/23/1992,none issued,Admission of new Members,--,0,0,0,0,0,0,0,1,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3035,23,January,1992,1/23/1992,none issued,Admission of new Members,--,0,0,0,0,0,0,0,1,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3034,23,January,1992,1/23/1992,none issued,Admission of new Members,"S/RES/732 (1992)
without vote",0,0,0,1,0,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3034,23,January,1992,1/23/1992,none issued,Admission of new Members,S/23470 (PRST),1,0,0,0,0,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3045,29,January,1992,1/29/1992,none issued,Admission of new Members,--,0,0,0,0,0,0,0,1,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3044,29,January,1992,1/29/1992,none issued,Admission of new Members,"S/RES/738 (1992)
without vote",0,0,0,1,0,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
0,n/a,n/a,S/PV.3044,29,January,1992,1/29/1992,none issued,Admission of new Members,S/23499 (PRST),1,0,0,0,0,0,0,0,0,United Kingdom,male,yes,no,WEOG,David Hannay,
